1100 qrts..
12 knd
12 mld
13 dol
15 kwd
15 velampalayam
19 pudur
2 ffa
2 gmb
2 kld
2 kma
22 rjd
25th pac
39 gtd
4 bld
4 cym
4 dwm
5 psd
509 command
54 lnp
61 head
63 velampalayam
69 lnp
7 knd
7 mld
8 spd
85 r..komarapalayam
9 drd
a kattupadi
a koduru
a kothapalle
a kothapalli
a mallavaram
a narayanapuram
a thirumalapuram
a veeranarayanam
a.. kala
a.. kiliyanur
a.. obayapalle
a.. saraiya
a.. sathankulam
a..a.. college
a..c..c.. colony
a..d.. project
a..f.. hansi
a..gs office
a..guha road
a..i ..area
a..i..a.. aburoad
a..i..e.. r..c..puram
a..j..c..bose road
a..k.. bad
a..k.. line
a..p.. badhla
a..p.. basti
a..r.. shala
aankali deewan
aareymilk colony
aasfabad chaman
ababakarpur kowahi
abad kuliadanga
abadan bairan
abadi ramagundam
abani reangpara
abbiraju palem
abbul hasanpur
abdul wahidganj
abdulla ganj
abdulla nagar
abdurahiman nagar
aberdeen bazar
abgil chandey
abgil chaurama
abhaipur behlolpur
abhayamukhi ramachandrapur
abhimanyu balia
abhinaypur pathakpur
abhiya kalan
abhoyganj bazar
abhyankar nagar
abi karlpora
abohar mandi
abu road
abul khurana
abulga bk
aburoad bazar
acetate town
achalpur city
achalpur kaithawalia
acharapakkam r..s..
acharya nagar
acharya vihar
achhaibar pipra
achnera mandi
achyut basant
ada hathrol
adajan dn
adalwada kalan
adampur ad
adampur doaba
adampur janubi
adampur tiloni
adani port
adarki bk
adarki khurd
adarsh basti
adarsh nagar
adarsha deurigaon
adavale budruk
adavi srirampur
adavisoman palli
adda bazar
adda kathar
addanki gate
additional ambernath
adgaon bk
adgaon kd
adgaon navapur
adgaon raja
adgaon sarak
adhale bk
adhora walla
adhyatmic nagar
adibasi beldanga
adilabad collectorate
adina station
adirampattinam r..s
aditya mills
aditya nagar
adivaram pudupadi
adm block
administrative buildings
administrative office
admn.. bldgs
adol bk
adra market
adraj merda
adrash nagar
adul budruk
adula bazar
adur agaram
aduthurai bazar
advi venkatapur
adyal tekadi
adyar dupache
aerial bay
aero kalan
aerodrome area
afim kothi
afjalpur chhaganpur
afjalpur darauli
afva isroli
afzalpur saton
ag school
ag bihar
agapur adpoi
agar malwa
agara alambadi
agara kondagai
agaria tikaria
agartala aerodrome
agartala bazar
agartala college
agartala court
agartala ongc
agartala secretariat
agartalaguard post
agarwal mandi
agasti ssk
agaura hameerpur
agawana khurd
aggar khurd
aggar nagar
aghar bk
aghar kh
aghara so
aghoria bazaar
agiaon bazar
agm colony
agra barrcks
agra chak
agra chauk
agra city
agra fort
agra harishchandrapur
agra university
agradwi r..s..
agrahara kannadiputhur
agran dhulgaon
agri college
agriculture college
agriculture farm
agriculture institute
agrsanda behara
ahamadpur asana
ahamedpur chauroli
ahemad nagar
ahiman chapra
ahiran subansh
ahirauli baghel
ahirauli bazar
ahirauli bujurg
ahirauli ranimau
ahiya chet
ahmad dhandi
ahmadabad city
ahmadpur kusumbha
ahmed nagar
ahmedabad city
ahmedabad g..p..o..
ahmedgarh s..o
ahmednagar camp
ahmednagar city
ahmednagar r..s..
ahmedpur asrauli
ahmedpur khaigaon
ahmedpur pawan
ahoo busty
ahorli kali
ahoroli ghat
ahrana klaln
ahraula mafi
ahungi kala
ahwar shaikh
